type,crm,local_id,uri
object,E22_Human-Made_Object,gnd-1070808091,https://hwgw.uzh.ch/artwork/gnd-1070808091
object,E22_Human-Made_Object,gnd-1070808342,https://hwgw.uzh.ch/artwork/gnd-1070808342
object,E22_Human-Made_Object,gnd-1070808555,https://hwgw.uzh.ch/artwork/gnd-1070808555
object,E22_Human-Made_Object,gnd-1070808741,https://hwgw.uzh.ch/artwork/gnd-1070808741
object,E22_Human-Made_Object,gnd-1070808873,https://hwgw.uzh.ch/artwork/gnd-1070808873
object,E22_Human-Made_Object,gnd-1070809071,https://hwgw.uzh.ch/artwork/gnd-1070809071
object,E22_Human-Made_Object,gnd-1070827940,https://hwgw.uzh.ch/artwork/gnd-1070827940
object,E22_Human-Made_Object,gnd-1070828270,https://hwgw.uzh.ch/artwork/gnd-1070828270
object,E22_Human-Made_Object,gnd-1070828351,https://hwgw.uzh.ch/artwork/gnd-1070828351
object,E22_Human-Made_Object,gnd-1070828599,https://hwgw.uzh.ch/artwork/gnd-1070828599
object,E22_Human-Made_Object,gnd-1070830690,https://hwgw.uzh.ch/artwork/gnd-1070830690
object,E22_Human-Made_Object,gnd-1071577182,https://hwgw.uzh.ch/artwork/gnd-1071577182
object,E22_Human-Made_Object,gnd-1074430778,https://hwgw.uzh.ch/artwork/gnd-1074430778
object,E22_Human-Made_Object,gnd-1074436334,https://hwgw.uzh.ch/artwork/gnd-1074436334
object,E22_Human-Made_Object,gnd-107471752X,https://hwgw.uzh.ch/artwork/gnd-107471752X
object,E22_Human-Made_Object,gnd-1074718836,https://hwgw.uzh.ch/artwork/gnd-1074718836
object,E22_Human-Made_Object,gnd-1075505224,https://hwgw.uzh.ch/artwork/gnd-1075505224
object,E22_Human-Made_Object,gnd-1077274971,https://hwgw.uzh.ch/artwork/gnd-1077274971
object,E22_Human-Made_Object,gnd-107732247X,https://hwgw.uzh.ch/artwork/gnd-107732247X
object,E22_Human-Made_Object,gnd-1079631755,https://hwgw.uzh.ch/artwork/gnd-1079631755
object,E22_Human-Made_Object,gnd-1082012424,https://hwgw.uzh.ch/built_work/gnd-1082012424
object,E22_Human-Made_Object,gnd-1083294644,https://hwgw.uzh.ch/built_work/gnd-1083294644
object,E22_Human-Made_Object,gnd-1084362007,https://hwgw.uzh.ch/built_work/gnd-1084362007
object,E22_Human-Made_Object,gnd-1085743888,https://hwgw.uzh.ch/artwork/gnd-1085743888
object,E22_Human-Made_Object,gnd-1088044778,https://hwgw.uzh.ch/artwork/gnd-1088044778
object,E22_Human-Made_Object,gnd-1090803095,https://hwgw.uzh.ch/built_work/gnd-1090803095
object,E22_Human-Made_Object,gnd-1091088306,https://hwgw.uzh.ch/built_work/gnd-1091088306
object,E22_Human-Made_Object,gnd-1096839261,https://hwgw.uzh.ch/built_work/gnd-1096839261
object,E22_Human-Made_Object,gnd-1099962536,https://hwgw.uzh.ch/built_work/gnd-1099962536
object,E22_Human-Made_Object,gnd-1101491124,https://hwgw.uzh.ch/built_work/gnd-1101491124
object,E22_Human-Made_Object,gnd-1102913634,https://hwgw.uzh.ch/artwork/gnd-1102913634
object,E22_Human-Made_Object,gnd-1108585574,https://hwgw.uzh.ch/artwork/gnd-1108585574
object,E22_Human-Made_Object,gnd-1116027879,https://hwgw.uzh.ch/artwork/gnd-1116027879
object,E22_Human-Made_Object,gnd-1119363225,https://hwgw.uzh.ch/artwork/gnd-1119363225
object,E22_Human-Made_Object,gnd-1124712887,https://hwgw.uzh.ch/artwork/gnd-1124712887
object,E22_Human-Made_Object,gnd-1135802068,https://hwgw.uzh.ch/artwork/gnd-1135802068
object,E22_Human-Made_Object,gnd-113865812X,https://hwgw.uzh.ch/artwork/gnd-113865812X
object,E22_Human-Made_Object,gnd-1144373220,https://hwgw.uzh.ch/artwork/gnd-1144373220
object,E22_Human-Made_Object,gnd-1147523797,https://hwgw.uzh.ch/artwork/gnd-1147523797
object,E22_Human-Made_Object,gnd-1149160144,https://hwgw.uzh.ch/artwork/gnd-1149160144
object,E22_Human-Made_Object,gnd-1151905291,https://hwgw.uzh.ch/artwork/gnd-1151905291
